City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
423,rosarito,32.3333,-117.0333,303.38,22,17,4.73,MX,1698792795
424,yerofey pavlovich,53.9667,121.9667,262.64,59,31,1.13,RU,1698792795
425,malvan,16.0667,73.4667,298.48,77,24,3.03,IN,1698792796
426,yaren,-0.5472,166.916,301.71,71,63,2.37,NR,1698792796
427,springbok,-29.6643,17.8865,292.13,27,64,6.96,ZA,1698792797
428,vuktyl,63.8567,57.3094,265.99,92,99,3.58,RU,1698792797
429,kyzyl-mazhalyk,51.1333,90.6,272.54,96,100,1.34,RU,1698792797
430,tokmok,42.8417,75.3016,280.85,72,53,1.82,KG,1698792798
431,pandan,14.0453,124.1694,300.03,88,96,4.51,PH,1698792799
432,letlhakane,-21.4167,25.5833,288.72,76,100,8.11,BW,1698792799
433,la passe,45.5549,-0.8967,285.92,83,27,6.65,FR,1698792800
434,klaksvik,62.2266,-6.589,276.66,61,85,10.6,FO,1698792800
435,kuta,-8.7233,115.1723,298.15,100,40,2.24,ID,1698792800
436,las tablas,7.7667,-80.2833,298.34,90,100,4.26,PA,1698792801
437,saudarkrokur,65.7461,-19.6394,273.36,64,1,1.88,IS,1698792801
438,sishui,35.6489,117.2758,289.4,66,0,1.99,CN,1698792802
439,hwange,-18.3693,26.5019,296.4,66,86,2.33,ZW,1698792802
440,shangyu,30.0156,120.8711,289.12,80,71,2.03,CN,1698792803
441,copiapo,-27.3667,-70.3333,287.98,35,0,2.49,CL,1698792568
442,walvis bay,-22.9575,14.5053,288.76,83,6,2.14,NA,1698792803
443,tsiombe,-25.3,45.4833,293.91,81,100,6.91,MG,1698792804
444,phan rang-thap cham,11.5667,108.9833,297.86,86,98,2.71,VN,1698792804
445,yung shue wan,22.2333,114.1167,297.41,76,26,0.89,HK,1698792805
446,severnoye,56.3491,78.3619,263.14,90,49,1.79,RU,1698792805
447,kamenka,51.3223,42.7678,282.91,84,98,3.41,RU,1698792805
448,moreira sales,-24.0622,-53.0069,295.41,93,84,1.47,BR,1698792806
449,meraux,29.933,-89.9498,288.71,44,95,0.89,US,1698792806
450,masterton,-40.9597,175.6575,292.53,48,93,1.75,NZ,1698792655
451,sao miguel do araguaia,-13.275,-50.1628,306.0,26,20,2.04,BR,1698792807
452,kulp,38.4972,41.0122,290.88,43,73,1.8,TR,1698792808
453,neiafu,-18.65,-173.9833,300.53,74,75,5.14,TO,1698792808
454,chegutu,-18.1302,30.1407,291.85,72,56,2.56,ZW,1698792808
455,tamanrasset,22.785,5.5228,292.1,19,0,1.54,DZ,1698792809
456,nyurba,63.2842,118.3319,253.87,99,100,1.73,RU,1698792809
457,puerto armuelles,8.2833,-82.8667,300.42,75,90,4.47,PA,1698792810
458,kerikeri,-35.2268,173.9474,295.32,82,91,0.45,NZ,1698792810
459,prince rupert,54.3161,-130.3201,281.2,61,0,2.57,CA,1698792728
460,bambari,5.768,20.6757,295.74,96,100,0.99,CF,1698792811
461,gjilan,42.4604,21.4699,287.36,70,99,1.22,XK,1698792811
462,greenville,35.6127,-77.3663,283.24,94,100,4.12,US,1698792726
463,yemva,62.59,50.8594,263.56,97,50,1.48,RU,1698792812
464,queenstown,-31.8976,26.8753,281.05,92,25,0.4,ZA,1698792649
465,zhangye,38.9342,100.4517,283.61,22,0,3.34,CN,1698792813
466,merizo village,13.2658,144.6691,303.7,87,64,7.44,GU,1698792813
467,prince george,53.9166,-122.753,278.29,53,0,3.09,CA,1698792614
468,palikir - national government center,6.9248,158.1611,299.62,89,75,2.57,FM,1698792814
469,novyy turtkul',41.55,61.0167,276.1,60,3,2.18,UZ,1698792814
470,niceville,30.5169,-86.4822,291.46,50,20,7.6,US,1698792815
471,al ghayzah,16.2079,52.176,299.05,75,63,3.36,YE,1698792815
472,paris,48.8534,2.3488,287.58,87,100,5.66,FR,1698792665
473,pokhara,28.2333,83.9833,291.53,39,100,2.4,NP,1698792716
474,sungai penuh,-2.0833,101.3833,290.87,96,78,0.92,ID,1698792816
475,jeddah,21.5169,39.2192,302.07,70,0,1.54,SA,1698792816
476,leava,-14.3,-178.1667,300.81,81,73,8.49,WF,1698792817
477,olyokminsk,60.3736,120.4264,258.04,91,100,3.71,RU,1698792818
478,amos,48.5669,-78.1162,269.72,84,100,1.04,CA,1698792818
479,gorgan,36.8387,54.4348,291.13,82,75,0.0,IR,1698792733
480,charters towers,-20.1,146.2667,300.86,32,46,2.36,AU,1698792819
481,kanal,46.0886,13.6397,283.24,91,38,10.73,SI,1698792787
482,bechar,31.6167,-2.2167,296.33,17,0,1.03,DZ,1698792820
483,selfoss,63.9331,-20.9971,275.95,76,75,4.32,IS,1698792820
484,panaba,21.2833,-88.2667,300.65,65,46,4.97,MX,1698792821
485,cam ranh,11.9214,109.1591,299.13,89,40,2.06,VN,1698792821
486,rabak,13.1809,32.74,303.73,42,94,3.03,SD,1698792821
487,skovorodino,53.9833,123.9167,264.05,60,100,0.11,RU,1698792822
488,zaozersk,69.4005,32.4476,270.02,91,95,2.66,RU,1698792822
489,qingquan,30.4511,115.2559,290.84,59,5,2.28,CN,1698792823
490,salekhard,66.53,66.6019,263.55,96,100,1.78,RU,1698792823
491,hinton,53.4001,-117.5857,276.76,87,97,0.57,CA,1698792823
492,adra,36.7496,-3.0206,291.11,70,100,3.84,ES,1698792824
493,odacho-oda,35.1833,132.5,281.58,71,0,4.07,JP,1698792824
494,krasnoural'sk,58.3638,60.0407,266.65,94,91,2.78,RU,1698792825
495,kuhmo,64.1333,29.5167,265.6,90,99,3.14,FI,1698792825
496,enewetak,11.3474,162.3373,301.71,75,98,7.37,MH,1698792826
497,ashmyany,54.425,25.9378,284.15,91,100,4.11,BY,1698792826
498,malango,-2.9627,119.9001,295.84,70,99,0.12,ID,1698792826
499,velasco ibarra,-1.05,-79.6167,300.99,71,100,0.59,EC,1698792827
500,belmonte,-15.8631,-38.8828,298.11,73,86,5.12,BR,1698792827
501,arica,-18.475,-70.3042,294.9,72,100,3.6,CL,1698792828
502,togur,58.3631,82.8265,264.34,89,24,2.68,RU,1698792828
503,humaita,-7.5061,-63.0208,301.53,56,71,1.4,BR,1698792689
504,soio,-6.1349,12.3689,298.85,85,90,2.18,AO,1698792829
505,grand falls-windsor,48.9332,-55.6649,273.43,71,30,2.98,CA,1698792829
506,usogorsk,63.4106,48.6872,265.74,96,83,2.23,RU,1698792830
507,la cruz,23.9167,-106.9,300.82,69,1,3.45,MX,1698792830
508,visby,57.6409,18.296,279.84,100,100,8.23,SE,1698792830
509,san patricio,28.017,-97.5169,289.07,32,43,4.65,US,1698792831
510,al mijlad,11.0333,27.7333,301.61,54,76,6.74,SD,1698792831
511,port hedland,-20.3167,118.5667,299.18,94,1,3.6,AU,1698792832
512,serro,-18.6047,-43.3794,294.37,89,88,0.41,BR,1698792832
513,assab,13.0092,42.7394,300.69,72,10,9.95,ER,1698792833
514,odry,49.6626,17.8308,284.18,85,98,5.12,CZ,1698792833
515,namibe,-15.1961,12.1522,291.13,83,0,1.78,AO,1698792833
516,bad arolsen,51.3798,9.0145,283.02,86,96,4.53,DE,1698792834
517,thunder bay,48.4001,-89.3168,271.14,50,75,6.69,CA,1698792787
518,forbes,-33.3833,148.0167,290.56,26,0,2.7,AU,1698792834
519,banyo,6.75,11.8167,292.55,92,98,1.42,CM,1698792834
520,saint-philippe,-21.3585,55.7679,295.92,85,27,2.96,RE,1698792835
521,pacasmayo,-7.4006,-79.5714,293.21,82,68,6.11,PE,1698792835
522,puerto deseado,-47.7503,-65.8938,281.41,45,5,6.97,AR,1698792700
523,ciudad bolivar,8.1222,-63.5497,302.95,59,98,2.83,VE,1698792836
524,labrador city,52.9463,-66.9114,268.1,63,75,6.69,CA,1698792836
525,kifri,34.6959,44.9661,296.94,35,86,5.61,IQ,1698792837
526,khovd,48.0056,91.6419,278.29,47,80,3.02,MN,1698792714
527,midvagur,62.0511,-7.1939,276.61,87,40,3.6,FO,1698792837
528,cidreira,-30.1811,-50.2056,292.15,91,30,5.95,BR,1698792838
529,severo-yeniseyskiy,60.3725,93.0408,253.44,96,13,1.33,RU,1698792839
530,klyuchi,52.2667,79.1667,273.11,89,99,4.24,RU,1698792839
531,robbah,33.2797,6.9098,294.95,35,65,2.19,DZ,1698792839
532,chemolgan,43.1897,76.5292,278.96,69,27,1.99,KZ,1698792840
533,itamaraca,-7.7478,-34.8256,300.18,74,13,5.52,BR,1698792840
534,hilo,19.7297,-155.09,302.18,79,16,3.13,US,1698792841
535,san antonio de pale,-1.4014,5.6325,299.52,84,100,4.52,GQ,1698792841
536,happy valley-goose bay,53.3168,-60.3315,273.32,47,75,5.66,CA,1698792842
537,fort st. john,56.2499,-120.8529,276.09,60,75,1.54,CA,1698792842
538,lockwood,45.8191,-108.4149,275.71,80,60,3.43,US,1698792843
539,eastham,41.8301,-69.9739,279.33,67,83,0.89,US,1698792843
540,hami,42.8,93.45,285.11,47,85,0.82,CN,1698792844
541,balabac,7.9868,117.0645,301.26,77,81,4.72,PH,1698792845
542,daru,-9.0763,143.2092,299.98,73,90,5.25,PG,1698792845
543,nova mayachka,46.6,33.2271,286.76,75,0,1.88,UA,1698792845
544,llanes,43.4198,-4.7549,289.61,65,94,4.85,ES,1698792846
545,shenjiamen,29.9576,122.298,293.78,70,57,4.21,CN,1698792847
546,sao gabriel,-30.3364,-54.32,292.47,85,23,5.6,BR,1698792847
547,veraval,20.9,70.3667,299.66,53,0,1.8,IN,1698792848
548,albacete,38.8333,-2.0,284.6,66,0,1.54,ES,1698792848
549,kununurra,-15.7667,128.7333,305.06,49,52,1.34,AU,1698792789
550,mugia,43.1041,-9.2179,289.35,74,98,12.2,ES,1698792849
551,kindu,-2.95,25.95,294.79,97,100,0.85,CD,1698792849
552,tual,-5.6667,132.75,298.6,82,100,1.78,ID,1698792850
553,nilopolis,-22.8075,-43.4139,298.99,78,75,1.54,BR,1698792851
554,carepa,7.7585,-76.6525,305.03,62,20,2.06,CO,1698792852
555,ilula,-7.6766,36.0366,290.09,92,25,3.82,TZ,1698792852
556,quillacollo,-17.4,-66.2833,295.19,71,75,5.14,BO,1698792853
557,nuuk,64.1835,-51.7216,274.9,95,100,4.12,GL,1698792649
558,plastun,44.7561,136.2939,283.89,68,46,4.17,RU,1698792853
559,kaa-khem,51.6833,94.7333,272.82,99,100,1.43,RU,1698792854
560,big spring,32.2504,-101.4787,286.4,25,0,2.57,US,1698792854
561,antofagasta,-23.65,-70.4,290.75,75,38,2.67,CL,1698792744
